Denomination,Year,Monarch,Desc,Variety,Strike Type,Metal,Mintage,,,,,,,,,,,,,,,,,,18
Farthing,1861,Victoria,Britannia,5 Berries 1861/1/1 (Both South),Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1861,Victoria,Britannia,5 Berries H/H in FARTHING,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1861,Victoria,Britannia,5 Berries,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1861,Victoria,Britannia,5 Berries,Proof,Silver,,,,,,,,,,,,,,,,,,,
Farthing,1861,Victoria,Britannia,5 Berries,Proof,Gold,,,,,,,,,,,,,,,,,,,
Farthing,1862,Victoria,Britannia,None/Unknown,Business Strike,Bronze,14336000,,,,,,,,,,,,,,,,,,
Farthing,1862,Victoria,Britannia,Large 8,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1863,Victoria,Britannia,None/Unknown,Business Strike,Bronze,1433600,,,,,,,,,,,,,,,,,,
Farthing,1863,Victoria,Britannia,Dot Below Lighthouse,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1864,Victoria,Britannia,Serif 4,Business Strike,Bronze,2508800,,,,,,,,,,,,,,,,,,
Farthing,1864,Victoria,Britannia,San Serif 4,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1865,Victoria,Britannia,None/Unknown,Business Strike,Bronze,4659200,,,,,,,,,,,,,,,,,,
Farthing,1865,Victoria,Britannia,5/2/2025,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1866,Victoria,Britannia,None/Unknown,Business Strike,Bronze,3584000,,,,,,,,,,,,,,,,,,
Farthing,1866,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1867,Victoria,Britannia,None/Unknown,Business Strike,Bronze,5017600,,,,,,,,,,,,,,,,,,
Farthing,1867,Victoria,Britannia,None/Unknown,Proof,Bronze,,,,,,,,,,,,,,,,,,,
Farthing,1868,Victoria,Britannia,None/Unknown,Business Strike,Bronze,4851210,,,,,,,,,,,,,,,,,,
Farthing,1868,Victoria,Britannia,Wide Date,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1868,Victoria,Britannia,Cu,Proof,Copper,,,,,,,,,,,,,,,,,,,
Farthing,1868,Victoria,Britannia,CuNi,Proof,Silver,,,,,,,,,,,,,,,,,,,
Farthing,1869,Victoria,Britannia,None/Unknown,Business Strike,Bronze,3225600,,,,,,,,,,,,,,,,,,
Farthing,1872,Victoria,Britannia,None/Unknown,Business Strike,Bronze,2150400,,,,,,,,,,,,,,,,,,
Farthing,1873,Victoria,Britannia,None/Unknown,Business Strike,Bronze,3225620,,,,,,,,,,,,,,,,,,
Farthing,1873,Victoria,Britannia,7/7/2025,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1873,Victoria,Britannia,Unbarred H in FARTHING,Business Strike,Bronze,Inc Abv,,,,,,,,,,,,,,,,,,
Farthing,1874 H,Victoria,Britannia,None/Unknown,Business Strike,Bronze,3584000,,,,,,,,,,,,,,,,,,
